referenceDate,valeurDate,availDate,transactionCode,documentNr,notes,amountDebit,amountCredit,balance
1/1/2022,1/1/2022,1/1/2022,,,ΑΠΟ ΜΕΤΑΦΟΡΑ,"3,420.30","65,540.03","62,119.73"
1/4/2022,12/31/2021,1/4/2022,69,001-001140001212846,LIDL ARTA GR,1.19,0.00,"62,118.54"
1/4/2022,12/31/2021,1/4/2022,69,001-001140001213301,METRO ARTA GR,12.06,0.00,"62,106.48"
1/4/2022,12/30/2021,1/4/2022,69,001-001140001213611,S/M AGGELIS ARTA GR,9.37,0.00,"62,097.11"
1/4/2022,12/31/2021,1/4/2022,69,060-001140000039580,AFOI N PETSA MON IKE ARTA GR,2.00,0.00,"62,095.11"
1/4/2022,12/31/2021,1/4/2022,69,070-001140000029631,IPIROS DISCOUNT ARTA GR,3.13,0.00,"62,091.98"
1/4/2022,12/31/2021,1/4/2022,69,080-001140000034256,LIDL ARTA GR,6.99,0.00,"62,084.99"
1/4/2022,12/31/2021,1/4/2022,69,080-001140000034700,LIDL ARTA GR,12.72,0.00,"62,072.27"
1/7/2022,1/3/2022,1/7/2022,69,070-001140000030251,PARALIA MEG ALEXAN GR,3.10,0.00,"62,069.17"
1/10/2022,1/6/2022,1/10/2022,69,001-001140001222339,PAPAGEORGIOU DIMOS THESSALONIKI GR,2.30,0.00,"62,066.87"
1/10/2022,1/5/2022,1/10/2022,69,001-001140001222516,SKLAVENITIS_CHARILAOU CHARILAOU THE GR,3.75,0.00,"62,063.12"
1/10/2022,1/5/2022,1/10/2022,69,010-001140000132741,FARMAKEIO KARLIOTI E THESSALONIKI GR,8.00,0.00,"62,055.12"
1/10/2022,1/4/2022,1/10/2022,69,010-001140000133091,LEKA ANA VASIL THESSALONIKI GR,7.00,0.00,"62,048.12"
1/10/2022,1/5/2022,1/10/2022,69,030-001140000067044,ARMAGOS NIKOLAOS THESSALONIKI GR,7.50,0.00,"62,040.62"
1/10/2022,1/5/2022,1/10/2022,69,030-001140000067209,FREGGIO THESSALONIKI GR,1.10,0.00,"62,039.52"
1/11/2022,1/5/2022,1/11/2022,69,001-001140001225131,ANATOLI AE CHARILAOU THE GR,4.76,0.00,"62,034.76"
1/11/2022,1/8/2022,1/11/2022,69,001-001140001225506,MY MARKET 594 ARTA METAMORFOSI GR,1.81,0.00,"62,032.95"
1/11/2022,1/8/2022,1/11/2022,69,001-001140001226187,METRO ARTA GR,17.92,0.00,"62,015.03"
1/11/2022,1/5/2022,1/11/2022,69,001-001140001226302,JETOIL AL PAPANAS GR,10.00,0.00,"62,005.03"
1/11/2022,1/8/2022,1/11/2022,69,001-001140001226364,IPIROS DISCOUNT ARTA GR,1.29,0.00,"62,003.74"
1/11/2022,1/6/2022,1/11/2022,69,001-001140001226477,JETOIL AL PAPANAS GR,45.43,0.00,"61,958.31"
1/11/2022,1/6/2022,1/11/2022,69,010-001140000134273,DIODIA PAMVOTIDAS CHTH 77000 GR,1.20,0.00,"61,957.11"
1/11/2022,1/6/2022,1/11/2022,69,010-001140000134287,GIOTIS SOTIRIOS K CO O IOANNINA GR,32.35,0.00,"61,924.76"
1/11/2022,1/5/2022,1/11/2022,69,060-001140000041174,TODAY GROUP AE AGGELAKH 1 GR,1.70,0.00,"61,923.06"
1/11/2022,1/6/2022,1/11/2022,69,070-001140000031192,DIODIA MALAKASIOU CHTH 11800 GR,1.40,0.00,"61,921.66"
1/11/2022,1/11/2022,1/11/2022,106,080-001120000035641,ΑΝΑΛΗΨΗ ΑΠΟ ATM,300.00,0.00,"61,621.66"
1/11/2022,1/6/2022,1/11/2022,69,080-001140000036130,DIODIA MALGARON CHTH 298.5 GR,1.20,0.00,"61,620.46"
1/11/2022,1/5/2022,1/11/2022,69,080-001140000036161,ANATOLI AE CHARILAOU THE GR,11.18,0.00,"61,609.28"
1/11/2022,1/6/2022,1/11/2022,69,080-001140000036221,DIODIA POLYMYLOY CHTH 227.5 GR,1.40,0.00,"61,607.88"
1/11/2022,1/8/2022,1/11/2022,69,080-001140000036223,LIDL ARTA GR,10.61,0.00,"61,597.27"
1/11/2022,1/6/2022,1/11/2022,69,080-001140000036292,EOAE SIATISTA CHTH 186 1 GR,1.50,0.00,"61,595.77"
1/11/2022,1/5/2022,1/11/2022,69,080-001140000036304,ANATOLI AE CHARILAOU THE GR,6.61,0.00,"61,589.16"
1/12/2022,1/12/2022,1/12/2022,200,001-000210000035989,ΕΙΣΕΡΧΟΜΕΝΟ ΕΜΒΑΣΜΑ CREDIT TRANSFER,0.00,649.69,"62,238.85"
1/12/2022,1/9/2022,1/12/2022,69,001-001140001227858,BOCHOTIS ARTA GR,14.70,0.00,"62,224.15"
1/12/2022,1/8/2022,1/12/2022,69,001-001140001228959,AGGELIS AE STRATONOS GR,12.29,0.00,"62,211.86"
1/12/2022,1/10/2022,1/12/2022,69,010-001140000135047,GIOLDASIS SA FILIPPIADA GR,6.42,0.00,"62,205.44"
1/12/2022,1/8/2022,1/12/2022,69,080-001140000036576,SKLAVENITIS ARTA ARTA GR,14.18,0.00,"62,191.26"
1/13/2022,1/11/2022,1/13/2022,69,070-001140000031917,NASOYLAS GEORGIOS SOTI ARTA GR,2.50,0.00,"62,188.76"
1/14/2022,1/11/2022,1/14/2022,69,080-001140000037092,SAKOYLA ALEXANDRA ARTA GR,3.00,0.00,"62,185.76"
1/17/2022,1/12/2022,1/17/2022,69,001-001140001235786,S/M AGGELIS ARTA GR,7.77,0.00,"62,177.99"
1/17/2022,1/12/2022,1/17/2022,69,001-001140001236493,MASOUTIS ARTA ARTA GR,4.34,0.00,"62,173.65"
1/17/2022,1/12/2022,1/17/2022,69,070-001140000032692,SKLAVENITIS ARTA SKOUFA ARTA GR,3.63,0.00,"62,170.02"
1/18/2022,1/14/2022,1/18/2022,69,001-001140001237182,S/M AGGELIS ARTA GR,6.25,0.00,"62,163.77"
1/18/2022,1/15/2022,1/18/2022,69,001-001140001238463,S/M AGGELIS ARTA GR,1.98,0.00,"62,161.79"
1/18/2022,1/14/2022,1/18/2022,69,001-001140001238585,SIAPLAOURAS PANAGI ARTA GR,1.80,0.00,"62,159.99"
1/18/2022,1/14/2022,1/18/2022,69,030-001140000070947,FARMAKEIA PAPANIKOLAOU X& ARTA GR,7.00,0.00,"62,152.99"
1/18/2022,1/16/2022,1/18/2022,69,030-001140000070994,THRAKA PREVEZA GR,10.00,0.00,"62,142.99"
1/18/2022,1/15/2022,1/18/2022,69,070-001140000032799,LIDL ARTA GR,28.91,0.00,"62,114.08"
1/19/2022,1/14/2022,1/19/2022,69,001-001140001240254,SKLAVENITIS ARTA ARTA GR,1.36,0.00,"62,112.72"
1/19/2022,1/16/2022,1/19/2022,69,050-001140000034636,BATZOGIANNIS GEOR KAI SIA MARINA GR,3.70,0.00,"62,109.02"
1/20/2022,1/17/2022,1/20/2022,69,001-001140001243586,MASOUTIS ARTA ARTA GR,4.91,0.00,"62,104.11"
1/21/2022,1/18/2022,1/21/2022,69,010-001140000139841,SKLAVENITIS ARTA ARTA GR,2.30,0.00,"62,101.81"
1/24/2022,1/19/2022,1/24/2022,69,001-001140001246696,S/M AGGELIS ARTA GR,5.48,0.00,"62,096.33"
1/24/2022,1/19/2022,1/24/2022,69,001-001140001246990,LIDL ARTA GR,10.06,0.00,"62,086.27"
1/24/2022,1/19/2022,1/24/2022,69,010-001140000140570,SAKOYLA ALEXANDRA ARTA GR,8.00,0.00,"62,078.27"
1/24/2022,1/20/2022,1/24/2022,69,010-001140000140634,PICK A POCKET PREVEZA GR,2.00,0.00,"62,076.27"
1/25/2022,1/19/2022,1/25/2022,69,001-001140001250115,FARMAKEIA PAPANIKOLAOU X& ARTA GR,7.00,0.00,"62,069.27"
1/25/2022,1/21/2022,1/25/2022,69,030-001140000073804,FARMAKEIA PAPANIKOLAOU X& ARTA GR,7.00,0.00,"62,062.27"
1/25/2022,1/20/2022,1/25/2022,69,080-001140000039578,AFOI KIRGIAKI OE PREVEZA GR,21.71,0.00,"62,040.56"
1/26/2022,1/26/2022,1/26/2022,200,001-000660000020640,ΕΙΣΕΡΧΟΜΕΝΟ ΕΜΒΑΣΜΑ CREDIT TRANSFER,0.00,649.69,"62,690.25"
1/26/2022,1/20/2022,1/26/2022,69,070-001140000034900,DIEM PREVEZA GR,5.00,0.00,"62,685.25"
1/26/2022,1/26/2022,1/26/2022,106,080-001120000036320,ΑΝΑΛΗΨΗ ΑΠΟ ATM,200.00,0.00,"62,485.25"
1/27/2022,1/24/2022,1/27/2022,69,001-001140001257370,SKLAVENITIS ARTA II ARTA GR,19.59,0.00,"62,465.66"
1/28/2022,1/26/2022,1/28/2022,69,010-001140000144034,DEVA ARTAS ARTA GR,103.84,0.00,"62,361.82"
2/1/2022,1/29/2022,2/1/2022,69,001-001140001265907,FREGGIO THESSALONIKI GR,1.10,0.00,"62,360.72"
2/1/2022,1/29/2022,2/1/2022,69,001-001140001266636,LIDL THESSALONIKI GR,10.95,0.00,"62,349.77"
2/1/2022,1/28/2022,2/1/2022,69,001-001140001266807,BP IOANNINA GR,1.50,0.00,"62,348.27"
2/1/2022,1/29/2022,2/1/2022,69,001-001140001267134,NATALI PLASTIRA PILEA GR,7.95,0.00,"62,340.32"
2/1/2022,1/29/2022,2/1/2022,69,010-001140000145825,SKLAVENITIS_CHARILAOU CHARILAOU THE GR,20.54,0.00,"62,319.78"
2/1/2022,1/29/2022,2/1/2022,69,060-001140000046995,ATHANASIOU ATHANAS KALAMARIA GR,7.80,0.00,"62,311.98"
2/1/2022,2/1/2022,2/1/2022,106,080-001120000036664,ΑΝΑΛΗΨΗ ΑΠΟ ATM,40.00,0.00,"62,271.98"
2/2/2022,1/29/2022,2/2/2022,69,001-001140001269268,ILKOS KOSMAS KON KARAMA GR,4.60,0.00,"62,267.38"
2/2/2022,1/31/2022,2/2/2022,69,001-001140001269550,ANATOLI AE CHARILAOU THE GR,4.92,0.00,"62,262.46"
2/2/2022,1/31/2022,2/2/2022,69,001-001140001269710,FARMAKEIO KARLIOTI E THESSALONIKI GR,5.60,0.00,"62,256.86"
2/2/2022,1/30/2022,2/2/2022,69,001-001140001270084,PAPASOTIRIOU KARATASOU GR,4.30,0.00,"62,252.56"
2/2/2022,1/29/2022,2/2/2022,69,001-001140001270374,MASOUTIS CHARILAOU  293 THESSALONI GR,3.28,0.00,"62,249.28"
2/2/2022,1/31/2022,2/2/2022,69,001-001140001270376,PAGONOPOULOS  KONSTANT THESSALONIKI GR,2.00,0.00,"62,247.28"
2/2/2022,1/29/2022,2/2/2022,69,001-001140001270604,FARMAKEIO KARLIOTI E THESSALONIKI GR,8.00,0.00,"62,239.28"
2/2/2022,1/28/2022,2/2/2022,69,050-001140000037060,O THANASIS THESSALONIKI GR,3.55,0.00,"62,235.73"
2/2/2022,1/30/2022,2/2/2022,69,060-001140000047637,NAZIRIDOU IKE KALAMARIA GR,8.50,0.00,"62,227.23"
2/2/2022,1/29/2022,2/2/2022,69,080-001140000041665,SUPER MARKET EGNATIA CHARILAOU THE GR,2.74,0.00,"62,224.49"
2/3/2022,1/31/2022,2/3/2022,69,001-001140001272401,BP-SIDIROPOULOU K & I OE VERIA GR,24.59,0.00,"62,199.90"
2/3/2022,1/31/2022,2/3/2022,69,001-001140001272468,DIODIA PAMVOTIDAS CHTH 77000 GR,1.20,0.00,"62,198.70"
2/3/2022,1/31/2022,2/3/2022,69,001-001140001272585,DIODIA POLYMYLOY CHTH 227.5 GR,1.40,0.00,"62,197.30"
2/3/2022,1/31/2022,2/3/2022,69,001-001140001272701,EOAE SIATISTA CHTH 186 1 GR,1.50,0.00,"62,195.80"
2/3/2022,1/31/2022,2/3/2022,69,001-001140001272807,LIDL THESSALONIKI GR,2.38,0.00,"62,193.42"
2/3/2022,1/31/2022,2/3/2022,69,010-001140000147295,DIODIA MALGARON CHTH 298.5 GR,1.20,0.00,"62,192.22"
2/3/2022,2/1/2022,2/3/2022,69,010-001140000147352,MPRIZOLADES ARTA GR,1.80,0.00,"62,190.42"
2/3/2022,1/31/2022,2/3/2022,69,030-001140000077982,DIODIA MALAKASIOU CHTH 11800 GR,1.40,0.00,"62,189.02"
2/3/2022,1/31/2022,2/3/2022,69,030-001140000078083,JETOIL AL PAPANAS GR,20.00,0.00,"62,169.02"
2/3/2022,1/31/2022,2/3/2022,69,060-001140000047916,FREGGIO THESSALONIKI GR,1.10,0.00,"62,167.92"
2/4/2022,2/2/2022,2/4/2022,69,010-001140000147655,K KALOGIROU IKE ARTA GR,8.00,0.00,"62,159.92"
2/7/2022,2/2/2022,2/7/2022,69,010-001140000149174,S/M AGGELIS ARTA GR,8.22,0.00,"62,151.70"
2/7/2022,2/7/2022,2/7/2022,106,080-001120000036936,ΑΝΑΛΗΨΗ ΑΠΟ ATM,400.00,0.00,"61,751.70"
2/7/2022,2/2/2022,2/7/2022,69,080-001140000042756,SKLAVENITIS ARTA SKOUFA ARTA GR,2.08,0.00,"61,749.62"
2/7/2022,2/2/2022,2/7/2022,69,080-001140000042832,LIDL ARTA GR,12.21,0.00,"61,737.41"
2/8/2022,2/2/2022,2/8/2022,69,001-001140001278771,FARMAKEIA PAPANIKOLAOU X& ARTA GR,7.00,0.00,"61,730.41"
